feedback,sentiment,category
"Recently, the interface needs improvement",negative,ui
"Honestly, login takes me back to the sign in page This is frustrating.",negative,login
"Unfortunately, the login page is not working I need assistance.",negative,login
"Recently, the support team solved my issue quickly Please help.",neutral,support
"Today, every screen takes a long time to open",negative,performance
"For some reason, the application interface is easy to use Can you fix this?",positive,ui
"Today, the text on the screen is too small Please look into it.",positive,ui
The app takes too long to load Can you fix this?,negative,performance
I am having trouble because i cannot login to my account This is frustrating.,negative,login
"Today, my payment failed while placing the order I need assistance.",negative,payment
"Unfortunately, the page becomes blank after clicking the button I need assistance.",negative,bug
"Today, money was deducted but the payment failed I need assistance.",neutral,payment
Pages are loading slowly I need assistance.,negative,performance
"Recently, the notification is showing the wrong information Can you fix this?",negative,bug
The app logs me out whenever I try to sign in Please look into it.,negative,login
"Honestly, my payment is stuck",negative,payment
I am having trouble because i cannot verify my account,negative,login
"Honestly, the navigation is difficult to understand Please look into it.",neutral,ui
"Unfortunately, please add notifications for price changes Please look into it.",neutral,feature_request
I noticed that the application closes unexpectedly Can you fix this?,negative,bug
"Recently, the application interface is easy to use Please look into it.",positive,ui
"For some reason, can you add fingerprint login I need assistance.",positive,feature_request
I noticed that the notification is showing the wrong information,negative,bug
The application crashes when I open my profile Please look into it.,neutral,bug
The support team solved my issue quickly I need assistance.,negative,support
I am having trouble because the application closes unexpectedly I need assistance.,negative,bug
"Today, can you add fingerprint login I need assistance.",neutral,feature_request
"Today, the search results are incorrect I need assistance.",negative,bug
"Honestly, the support experience was disappointing",negative,support
"Today, i found a bug in the checkout process Please help.",negative,bug
"Honestly, the support team solved my issue quickly I need assistance.",negative,support
Please add a filter for previous orders Please help.,neutral,feature_request
"Today, the app crashes whenever I upload a file I need assistance.",negative,bug
"Unfortunately, please add more payment methods",neutral,feature_request
"Today, customer service was very helpful Please help.",negative,support
I am having trouble because the card payment keeps failing I need assistance.,negative,payment
"For some reason, the application is lagging badly This happens repeatedly.",negative,performance
"Honestly, please provide an option to change the language Please help.",neutral,feature_request
"Honestly, the app becomes slow during checkout Can you fix this?",negative,performance
The app takes too long to load Can you fix this?,negative,performance
"Today, the OTP is not arriving during login Please help.",negative,login
The payment page shows an error,negative,payment
"Unfortunately, it would be great to have a dark theme Please help.",neutral,feature_request
"Unfortunately, i was charged but the order was not placed",neutral,payment
"Recently, i would like to schedule deliveries Can you fix this?",neutral,feature_request
The support staff were polite and professional This is frustrating.,positive,support
I am having trouble because the transaction was declined Please help.,negative,payment
The navigation is difficult to understand This is frustrating.,neutral,ui
"Today, the transaction was declined This happens repeatedly.",negative,payment
It would be useful to have a wishlist This is frustrating.,neutral,feature_request
"Today, it would be great to have a dark theme This happens repeatedly.",neutral,feature_request
I noticed that my payment failed while placing the order This is frustrating.,negative,payment
"Recently, the application interface is easy to use Can you fix this?",negative,ui
"Honestly, the transaction was declined Please look into it.",negative,payment
The application closes unexpectedly This happens repeatedly.,negative,bug
"For some reason, the search results are incorrect I need assistance.",negative,bug
"Honestly, i cannot login to my account Please help.",negative,login
"Unfortunately, the buttons are difficult to find Please help.",negative,ui
"Today, the menu layout is confusing This is frustrating.",negative,ui
I noticed that i found a bug in the checkout process Can you fix this?,negative,bug
I noticed that the support team did not resolve my problem I need assistance.,negative,support
I am having trouble because nobody from customer support has contacted me Please look into it.,negative,support
I cannot complete the payment Please help.,negative,payment
"Today, the design is simple and user friendly Please help.",neutral,ui
"Unfortunately, the page becomes blank after clicking the button I need assistance.",neutral,bug
The support staff were polite and professional I need assistance.,positive,support
"Today, the application interface is easy to use Please look into it.",negative,ui
"For some reason, every screen takes a long time to open Can you fix this?",neutral,performance
"Today, the text on the screen is too small Please help.",positive,ui
I am having trouble because my payment failed while placing the order Please look into it.,negative,payment
"Today, please add notifications for price changes This is frustrating.",neutral,feature_request
"Today, nobody from customer support has contacted me This is frustrating.",positive,support
"Unfortunately, the navigation is difficult to understand Please help.",positive,ui
"Unfortunately, support took too long to respond This happens repeatedly.",neutral,support
The colors and layout make the app easy to use,positive,ui
"Today, something is broken in the application Can you fix this?",negative,bug
Something is broken in the application Please look into it.,negative,bug
"Honestly, can you add fingerprint login This happens repeatedly.",neutral,feature_request
"For some reason, the page becomes blank after clicking the button Can you fix this?",negative,bug
"Honestly, it would be useful to have a wishlist Can you fix this?",neutral,feature_request
"Today, the buttons are difficult to find",neutral,ui
"Unfortunately, i have not received a response from support Please look into it.",positive,support
"Recently, the order status is displaying incorrectly Can you fix this?",negative,bug
I noticed that i cannot verify my account I need assistance.,negative,login
"Honestly, the application is lagging badly Please help.",negative,performance
I noticed that the card payment keeps failing I need assistance.,neutral,payment
I noticed that i am unable to pay for my order Please look into it.,negative,payment
"For some reason, the app takes too long to load",negative,performance
"Honestly, the app shows an error after checkout Please help.",negative,bug
"Honestly, please provide an option to change the language Can you fix this?",neutral,feature_request
I am having trouble because please add dark mode to the application Please help.,positive,feature_request
"Today, i found a bug in the checkout process Can you fix this?",negative,bug
"Recently, i am unable to pay for my order Please look into it.",neutral,payment
"Honestly, pages are loading slowly Please help.",negative,performance
"Unfortunately, the notification is showing the wrong information Can you fix this?",negative,bug
The payment page shows an error,negative,payment
I am unable to pay for my order This is frustrating.,negative,payment
I am unable to access my account This happens repeatedly.,negative,login
"Honestly, it takes forever to open the dashboard I need assistance.",negative,performance
"Unfortunately, the order status is displaying incorrectly Please look into it.",negative,bug
"Honestly, the notification is showing the wrong information Please help.",negative,bug
"Recently, my account login keeps failing This is frustrating.",negative,login
The support staff were polite and professional Can you fix this?,negative,support
The app takes too long to load,negative,performance
"For some reason, the page becomes blank after clicking the button Please help.",negative,bug
"Honestly, the app logs me out whenever I try to sign in Please help.",negative,login
The application interface is easy to use This happens repeatedly.,positive,ui
"Unfortunately, the website is extremely slow today Can you fix this?",negative,performance
"For some reason, please provide an option to change the language Can you fix this?",positive,feature_request
"Unfortunately, the payment page shows an error Please look into it.",negative,payment
"Unfortunately, the website is extremely slow today This is frustrating.",neutral,performance
I noticed that the password reset link is not working Can you fix this?,negative,login
I am having trouble because the design is simple and user friendly Please help.,positive,ui
"Honestly, the buttons are difficult to find This is frustrating.",negative,ui
"Today, i would like an option to download invoices",neutral,feature_request
"For some reason, support took too long to respond Please look into it.",negative,support
"Unfortunately, please add dark mode to the application Please help.",neutral,feature_request
"Honestly, the password reset link is not working Can you fix this?",negative,login
"For some reason, the application freezes frequently This is frustrating.",negative,performance
I am having trouble because my account login keeps failing Please look into it.,negative,login
I noticed that my account login keeps failing This is frustrating.,neutral,login
"Unfortunately, uPI payment is not going through Please look into it.",negative,payment
"Recently, i cannot complete the payment Please help.",negative,payment
"Unfortunately, the notification is showing the wrong information Please help.",negative,bug
I noticed that the card payment keeps failing I need assistance.,negative,payment
I noticed that please add a filter for previous orders I need assistance.,neutral,feature_request
"Honestly, the text on the screen is too small I need assistance.",neutral,ui
"Today, the login page is not working Can you fix this?",negative,login
The application interface is easy to use Can you fix this?,negative,ui
"Today, i am unable to access my account This is frustrating.",negative,login
The application is lagging badly I need assistance.,negative,performance
"Today, the app logs me out whenever I try to sign in This is frustrating.",negative,login
"Recently, the support staff were polite and professional I need assistance.",negative,support
I noticed that please add notifications for price changes I need assistance.,neutral,feature_request
"Honestly, the application is lagging badly This is frustrating.",negative,performance
"Today, the support staff were polite and professional This is frustrating.",negative,support
"Unfortunately, the design is simple and user friendly I need assistance.",positive,ui
I am having trouble because the app crashes whenever I upload a file This happens repeatedly.,negative,bug
"Unfortunately, uPI payment is not going through I need assistance.",negative,payment
The design is simple and user friendly Can you fix this?,negative,ui
I am having trouble because the page becomes blank after clicking the button Please look into it.,negative,bug
I am having trouble because the transaction was declined,negative,payment
The new interface looks clean,positive,ui
"Today, i am unable to pay for my order Please help.",negative,payment
"Recently, the app becomes slow during checkout Please look into it.",negative,performance
"Recently, the order status is displaying incorrectly This happens repeatedly.",negative,bug
"Recently, the menu layout is confusing Can you fix this?",positive,ui
"Today, the search results are incorrect Please help.",negative,bug
"Today, my payment is stuck Please look into it.",neutral,payment
"Honestly, the application crashes when I open my profile I need assistance.",negative,bug
"Honestly, the password reset link is not working Can you fix this?",neutral,login
"For some reason, the application is lagging badly This is frustrating.",negative,performance
"Today, the website response time is very poor Can you fix this?",negative,performance
"Today, i cannot login to my account I need assistance.",negative,login
"For some reason, my account login keeps failing I need assistance.",negative,login
"Today, the payment page shows an error This is frustrating.",negative,payment
"For some reason, the navigation is difficult to understand This is frustrating.",positive,ui
"Recently, the transaction was declined Please help.",negative,payment
I am having trouble because i forgot my password and cannot sign in Please look into it.,negative,login
"Unfortunately, the new interface looks clean This happens repeatedly.",negative,ui
"Honestly, i cannot verify my account Please help.",negative,login
"Honestly, the application interface is easy to use I need assistance.",negative,ui
"Honestly, something is broken in the application",negative,bug
"Honestly, the website response time is very poor This happens repeatedly.",negative,performance
"For some reason, the order status is displaying incorrectly Can you fix this?",negative,bug
"Recently, the application is very slow This happens repeatedly.",negative,performance
"Unfortunately, i found a bug in the checkout process I need assistance.",negative,bug
I am having trouble because i was charged but the order was not placed I need assistance.,negative,payment
I noticed that the order status is displaying incorrectly,negative,bug
"Recently, i cannot complete the payment I need assistance.",negative,payment
I noticed that customer service was very helpful I need assistance.,negative,support
"For some reason, the design is simple and user friendly Please look into it.",negative,ui
"Recently, the transaction was declined I need assistance.",negative,payment
"Honestly, i found a bug in the checkout process This happens repeatedly.",negative,bug
I noticed that it would be useful to have a wishlist This is frustrating.,neutral,feature_request
"Recently, the page becomes blank after clicking the button I need assistance.",neutral,bug
"Recently, it would be useful to have a wishlist This happens repeatedly.",positive,feature_request
"Recently, my payment failed while placing the order Please look into it.",negative,payment
"Today, pages are loading slowly Can you fix this?",negative,performance
I noticed that nobody from customer support has contacted me This happens repeatedly.,negative,support
"Honestly, the notification is showing the wrong information Can you fix this?",negative,bug
"Recently, the support staff were polite and professional Please help.",negative,support
The app logs me out whenever I try to sign in I need assistance.,negative,login
The support experience was disappointing Please look into it.,negative,support
"Today, i would like to schedule deliveries",neutral,feature_request
I am having trouble because it takes forever to open the dashboard This is frustrating.,negative,performance
"Honestly, the interface needs improvement",positive,ui
"Recently, i am unable to pay for my order",negative,payment
I noticed that every screen takes a long time to open This is frustrating.,negative,performance
"Recently, pages are loading slowly This is frustrating.",negative,performance
The buttons are difficult to find This is frustrating.,negative,ui
"Honestly, i was charged but the order was not placed This happens repeatedly.",negative,payment
"For some reason, please add more payment methods I need assistance.",positive,feature_request
"Recently, i cannot complete the payment Please look into it.",neutral,payment
I am having trouble because the app crashes whenever I upload a file Can you fix this?,negative,bug
I am having trouble because something is broken in the application Please help.,negative,bug
"For some reason, the password reset link is not working",negative,login
"Unfortunately, i cannot login to my account Please help.",negative,login
"Honestly, i would like to schedule deliveries This is frustrating.",positive,feature_request
I noticed that it would be great to have a dark theme This is frustrating.,neutral,feature_request
I forgot my password and cannot sign in,negative,login
"Today, the OTP is not arriving during login Please look into it.",negative,login
"Honestly, i cannot verify my account Please help.",neutral,login
"Recently, nobody from customer support has contacted me I need assistance.",negative,support
"For some reason, i forgot my password and cannot sign in I need assistance.",negative,login
"Recently, i found a bug in the checkout process I need assistance.",negative,bug
"Recently, something is broken in the application Please help.",negative,bug
I am having trouble because the app crashes whenever I upload a file,negative,bug
"For some reason, the page becomes blank after clicking the button This happens repeatedly.",negative,bug
"For some reason, support took too long to respond Please help.",positive,support
I noticed that i found a bug in the checkout process This is frustrating.,negative,bug
"Unfortunately, the app crashes whenever I upload a file Please look into it.",negative,bug
"Unfortunately, the app becomes slow during checkout This is frustrating.",negative,performance
"Unfortunately, please add more payment methods I need assistance.",neutral,feature_request
"Honestly, the page becomes blank after clicking the button Can you fix this?",negative,bug
"Recently, i cannot login to my account Can you fix this?",neutral,login
I noticed that the application crashes when I open my profile Can you fix this?,negative,bug
"For some reason, the colors and layout make the app easy to use Please look into it.",positive,ui
The customer care representative was helpful I need assistance.,negative,support
Login takes me back to the sign in page Please look into it.,negative,login
"For some reason, the interface needs improvement Please help.",neutral,ui
I noticed that i cannot complete the payment This happens repeatedly.,negative,payment
"For some reason, the buttons are difficult to find This is frustrating.",positive,ui
"For some reason, the OTP is not arriving during login Please look into it.",negative,login
I noticed that please add dark mode to the application,positive,feature_request
"For some reason, the support team did not resolve my problem This happens repeatedly.",negative,support
"Today, the application is very slow Please help.",negative,performance
I am having trouble because please add dark mode to the application I need assistance.,neutral,feature_request
I noticed that please add a filter for previous orders This is frustrating.,neutral,feature_request
"Unfortunately, the app becomes slow during checkout This is frustrating.",neutral,performance
I am having trouble because login takes me back to the sign in page Please help.,negative,login
I am having trouble because i am unable to access my account,negative,login
"For some reason, money was deducted but the payment failed",negative,payment
"Unfortunately, every screen takes a long time to open Please look into it.",negative,performance
"For some reason, money was deducted but the payment failed Can you fix this?",negative,payment
"For some reason, the card payment keeps failing",negative,payment
"Unfortunately, the application freezes frequently Please look into it.",negative,performance
I am having trouble because every screen takes a long time to open Please look into it.,negative,performance
"For some reason, money was deducted but the payment failed This happens repeatedly.",negative,payment
Money was deducted but the payment failed Please look into it.,negative,payment
The search results are incorrect Can you fix this?,negative,bug
I noticed that money was deducted but the payment failed This is frustrating.,negative,payment
I noticed that i am happy with the assistance I received Please help.,negative,support
The application is lagging badly Can you fix this?,negative,performance
"Recently, my payment failed while placing the order Please help.",negative,payment
"For some reason, the app crashes whenever I upload a file This happens repeatedly.",neutral,bug
I am having trouble because the app shows an error after checkout Can you fix this?,negative,bug
"Unfortunately, please add a filter for previous orders This happens repeatedly.",positive,feature_request
"Unfortunately, please provide an option to change the language I need assistance.",neutral,feature_request
"Honestly, it takes forever to open the dashboard I need assistance.",negative,performance
The application closes unexpectedly This is frustrating.,negative,bug
I would like to schedule deliveries Can you fix this?,positive,feature_request
"Honestly, the navigation is difficult to understand This happens repeatedly.",negative,ui
"Unfortunately, the order status is displaying incorrectly Please help.",negative,bug
"Today, the application closes unexpectedly Please help.",neutral,bug
"For some reason, the application is very slow This happens repeatedly.",negative,performance
"Recently, the transaction was declined Please look into it.",negative,payment
"Unfortunately, the customer care representative was helpful This happens repeatedly.",negative,support
I cannot complete the payment Please look into it.,negative,payment
"Unfortunately, the password reset link is not working Can you fix this?",negative,login
The website is extremely slow today Can you fix this?,neutral,performance
I noticed that the new interface looks clean Can you fix this?,negative,ui
I am having trouble because money was deducted but the payment failed Can you fix this?,negative,payment
I noticed that the website response time is very poor Please look into it.,neutral,performance
I am having trouble because the colors and layout make the app easy to use,neutral,ui
"Today, the buttons are difficult to find This is frustrating.",neutral,ui
I noticed that please provide an option to change the language Can you fix this?,neutral,feature_request
I am happy with the assistance I received I need assistance.,negative,support
I am having trouble because login takes me back to the sign in page Please help.,negative,login
"Recently, the app takes too long to load",negative,performance
I noticed that uPI payment is not going through Can you fix this?,negative,payment
"Honestly, the order status is displaying incorrectly This is frustrating.",negative,bug
"Today, i would like to schedule deliveries This happens repeatedly.",neutral,feature_request
"Unfortunately, the customer care representative was helpful I need assistance.",positive,support
"Unfortunately, the app logs me out whenever I try to sign in I need assistance.",negative,login
"Honestly, i cannot verify my account Please help.",negative,login
"Today, the support staff were polite and professional Can you fix this?",negative,support
"For some reason, the support experience was disappointing This happens repeatedly.",negative,support
Pages are loading slowly,negative,performance
The application is lagging badly I need assistance.,negative,performance
"For some reason, the buttons are difficult to find Can you fix this?",positive,ui
"Honestly, i would like to schedule deliveries Please help.",neutral,feature_request
The customer care representative was helpful,positive,support
The application closes unexpectedly This happens repeatedly.,negative,bug
I noticed that i am unable to pay for my order This happens repeatedly.,negative,payment
I noticed that the buttons are difficult to find Please look into it.,positive,ui
"Recently, the dashboard looks great Please look into it.",negative,ui
"Today, i have not received a response from support Please look into it.",negative,support
I am having trouble because the application interface is easy to use This is frustrating.,negative,ui
I noticed that please add dark mode to the application This happens repeatedly.,neutral,feature_request
I noticed that can you add fingerprint login Please help.,neutral,feature_request
"Today, i cannot verify my account I need assistance.",negative,login
I noticed that the new interface looks clean,positive,ui
"Honestly, the design is simple and user friendly Can you fix this?",negative,ui
"Honestly, the login page is not working This happens repeatedly.",neutral,login
"Today, the application crashes when I open my profile Please help.",negative,bug
"Unfortunately, the support staff were polite and professional I need assistance.",positive,support
"Unfortunately, the app shows an error after checkout I need assistance.",negative,bug
I noticed that i was charged but the order was not placed This happens repeatedly.,negative,payment
"Today, support took too long to respond Please look into it.",negative,support
"Recently, please provide an option to change the language I need assistance.",neutral,feature_request
"For some reason, the website response time is very poor This is frustrating.",negative,performance
"Honestly, the payment page shows an error Please help.",negative,payment
"For some reason, i am unable to pay for my order I need assistance.",negative,payment
"For some reason, the application freezes frequently",negative,performance
I am having trouble because the customer care representative was helpful Can you fix this?,negative,support
"Recently, it would be great to have a dark theme Can you fix this?",neutral,feature_request
"For some reason, the dashboard looks great Can you fix this?",positive,ui
"For some reason, the login page is not working This is frustrating.",negative,login
"For some reason, the application crashes when I open my profile This is frustrating.",neutral,bug
I am having trouble because the payment page shows an error,negative,payment
I noticed that the OTP is not arriving during login Can you fix this?,negative,login
"Recently, the dashboard looks great Please help.",negative,ui
"For some reason, the menu layout is confusing This happens repeatedly.",positive,ui
Money was deducted but the payment failed Please look into it.,negative,payment
"Unfortunately, my payment is stuck This happens repeatedly.",negative,payment
I forgot my password and cannot sign in Please help.,negative,login
Login takes me back to the sign in page Please help.,negative,login
"Honestly, the application is lagging badly Please help.",negative,performance
"Today, i cannot complete the payment This happens repeatedly.",negative,payment
"Unfortunately, the transaction was declined",negative,payment
I noticed that support took too long to respond This happens repeatedly.,positive,support
The website is extremely slow today Can you fix this?,neutral,performance
"Today, money was deducted but the payment failed Can you fix this?",negative,payment
"Unfortunately, i was charged but the order was not placed This happens repeatedly.",negative,payment
"Unfortunately, the interface needs improvement I need assistance.",neutral,ui
The application closes unexpectedly Can you fix this?,negative,bug
"Today, please add notifications for price changes Please look into it.",neutral,feature_request
"Today, the website response time is very poor This happens repeatedly.",negative,performance
Please add more payment methods This happens repeatedly.,neutral,feature_request
The login page is not working,negative,login
"Today, the menu layout is confusing Can you fix this?",negative,ui
"Today, please provide an option to change the language Please help.",neutral,feature_request
"Honestly, the application is very slow Please look into it.",negative,performance
"Recently, the application is very slow",negative,performance
I am having trouble because the application interface is easy to use This is frustrating.,negative,ui
I cannot verify my account,negative,login
"Recently, the support team did not resolve my problem This is frustrating.",negative,support
"Today, please provide an option to change the language Please help.",neutral,feature_request
"Honestly, the website is extremely slow today Please look into it.",negative,performance
"Honestly, my account login keeps failing Can you fix this?",neutral,login
"Today, the app crashes whenever I upload a file Can you fix this?",negative,bug
I am having trouble because the application is lagging badly This is frustrating.,negative,performance
"Today, please add dark mode to the application I need assistance.",neutral,feature_request
I am having trouble because the password reset link is not working Can you fix this?,negative,login
I noticed that customer service was very helpful Please look into it.,positive,support
I cannot verify my account This happens repeatedly.,negative,login
The buttons are difficult to find I need assistance.,positive,ui
"For some reason, the OTP is not arriving during login Can you fix this?",neutral,login
"Honestly, the app takes too long to load",negative,performance
The page becomes blank after clicking the button This happens repeatedly.,negative,bug
The interface needs improvement This is frustrating.,neutral,ui
I am having trouble because the text on the screen is too small This happens repeatedly.,negative,ui
"Honestly, i forgot my password and cannot sign in This happens repeatedly.",neutral,login
"Today, it takes forever to open the dashboard Please help.",negative,performance
I am having trouble because can you add fingerprint login This happens repeatedly.,neutral,feature_request
"Recently, i am happy with the assistance I received This happens repeatedly.",neutral,support
"Today, i cannot verify my account Please look into it.",negative,login
"Recently, the colors and layout make the app easy to use Please look into it.",negative,ui
"Unfortunately, i was charged but the order was not placed Please help.",negative,payment
"Recently, i am happy with the assistance I received This is frustrating.",positive,support
The dashboard looks great This is frustrating.,positive,ui
The text on the screen is too small Please look into it.,negative,ui
I noticed that it takes forever to open the dashboard I need assistance.,negative,performance
"Unfortunately, please add notifications for price changes",neutral,feature_request
"Recently, the support staff were polite and professional This happens repeatedly.",negative,support
I am having trouble because the support team did not resolve my problem Please look into it.,negative,support
"Recently, something is broken in the application This is frustrating.",neutral,bug
"For some reason, i was charged but the order was not placed I need assistance.",negative,payment
"Today, my payment is stuck",neutral,payment
"Recently, i cannot login to my account This happens repeatedly.",negative,login
"For some reason, the password reset link is not working Can you fix this?",negative,login
I am having trouble because it takes forever to open the dashboard I need assistance.,negative,performance
The website is extremely slow today Please help.,negative,performance
"Unfortunately, the interface needs improvement This is frustrating.",positive,ui
"Recently, something is broken in the application Please look into it.",neutral,bug
"Honestly, i have not received a response from support This happens repeatedly.",positive,support
"For some reason, i would like an option to download invoices This happens repeatedly.",neutral,feature_request
"Today, my payment is stuck Can you fix this?",neutral,payment
"Recently, customer service was very helpful Can you fix this?",positive,support
I forgot my password and cannot sign in Please look into it.,negative,login
I noticed that nobody from customer support has contacted me I need assistance.,negative,support
"Recently, uPI payment is not going through Please look into it.",negative,payment
I noticed that can you add fingerprint login Please help.,neutral,feature_request
The application closes unexpectedly I need assistance.,negative,bug
Login takes me back to the sign in page Please help.,negative,login
"Recently, pages are loading slowly Please help.",negative,performance
I noticed that my payment is stuck Please look into it.,negative,payment
I noticed that support took too long to respond This is frustrating.,positive,support
"Today, i would like an option to download invoices This is frustrating.",neutral,feature_request
"Today, please add notifications for price changes",neutral,feature_request
I noticed that please add a filter for previous orders This happens repeatedly.,neutral,feature_request
"For some reason, the password reset link is not working Please look into it.",negative,login
"Unfortunately, the customer care representative was helpful Please look into it.",positive,support
"Honestly, i was charged but the order was not placed This is frustrating.",negative,payment
I noticed that login takes me back to the sign in page Please look into it.,negative,login
"For some reason, uPI payment is not going through Please help.",negative,payment
I am having trouble because please add notifications for price changes Please help.,neutral,feature_request
The app shows an error after checkout Please look into it.,negative,bug
"For some reason, please add dark mode to the application",neutral,feature_request
"Today, the new interface looks clean This is frustrating.",positive,ui
"For some reason, i am unable to access my account Can you fix this?",negative,login
I noticed that login takes me back to the sign in page Please look into it.,negative,login
"Honestly, the application closes unexpectedly This happens repeatedly.",neutral,bug
"For some reason, i would like to schedule deliveries This happens repeatedly.",neutral,feature_request
"Today, the application crashes when I open my profile This happens repeatedly.",negative,bug
"Honestly, the design is simple and user friendly I need assistance.",negative,ui
"Honestly, the design is simple and user friendly I need assistance.",positive,ui
"Unfortunately, the navigation is difficult to understand This happens repeatedly.",negative,ui
"Unfortunately, the navigation is difficult to understand Can you fix this?",positive,ui
"Unfortunately, the application is very slow Please help.",negative,performance
I noticed that the OTP is not arriving during login I need assistance.,negative,login
"Honestly, the support experience was disappointing",positive,support
"Unfortunately, the application is very slow I need assistance.",negative,performance
"Honestly, uPI payment is not going through I need assistance.",negative,payment
"For some reason, my payment failed while placing the order This happens repeatedly.",negative,payment
"Unfortunately, uPI payment is not going through This happens repeatedly.",negative,payment
"Honestly, i am unable to pay for my order This happens repeatedly.",neutral,payment
"For some reason, login takes me back to the sign in page This happens repeatedly.",negative,login
"For some reason, my account login keeps failing This happens repeatedly.",negative,login
"Unfortunately, the buttons are difficult to find Please help.",negative,ui
I am having trouble because i was charged but the order was not placed Please help.,negative,payment
"Unfortunately, every screen takes a long time to open",negative,performance
"Unfortunately, i would like to schedule deliveries Please help.",neutral,feature_request
I cannot complete the payment Can you fix this?,negative,payment
I am having trouble because the support team did not resolve my problem I need assistance.,positive,support
I noticed that the app logs me out whenever I try to sign in,negative,login
I noticed that the app crashes whenever I upload a file This is frustrating.,negative,bug
"Recently, please provide an option to change the language",neutral,feature_request
"Today, the navigation is difficult to understand This is frustrating.",negative,ui
"Recently, the design is simple and user friendly Please help.",positive,ui
"Unfortunately, it would be great to have a dark theme Please look into it.",neutral,feature_request
"Honestly, the new interface looks clean This is frustrating.",negative,ui
"Today, the transaction was declined",negative,payment
I am having trouble because the website response time is very poor Please help.,negative,performance
"Today, the navigation is difficult to understand Can you fix this?",positive,ui
"Honestly, please add dark mode to the application I need assistance.",neutral,feature_request
"Honestly, support took too long to respond Please look into it.",negative,support
"Recently, the app shows an error after checkout",negative,bug
"For some reason, the password reset link is not working This happens repeatedly.",negative,login
"For some reason, customer service was very helpful",neutral,support
"For some reason, the customer care representative was helpful I need assistance.",negative,support
I noticed that the order status is displaying incorrectly I need assistance.,neutral,bug
"Honestly, the colors and layout make the app easy to use This is frustrating.",neutral,ui
"Today, something is broken in the application Can you fix this?",negative,bug
I noticed that my payment is stuck This happens repeatedly.,negative,payment
I am having trouble because the application is lagging badly This happens repeatedly.,negative,performance
"Recently, the support staff were polite and professional Please look into it.",negative,support
"For some reason, support took too long to respond This happens repeatedly.",negative,support
I am having trouble because i would like to schedule deliveries,neutral,feature_request
"Unfortunately, the design is simple and user friendly This happens repeatedly.",neutral,ui
"Honestly, support took too long to respond Please help.",neutral,support
"Unfortunately, the app takes too long to load Please look into it.",negative,performance
"Honestly, the notification is showing the wrong information This happens repeatedly.",negative,bug
I noticed that the interface needs improvement Can you fix this?,negative,ui
"Today, the search results are incorrect I need assistance.",negative,bug
"Today, the application is lagging badly Please look into it.",negative,performance
"Today, the app takes too long to load Can you fix this?",negative,performance
I am having trouble because the payment page shows an error,negative,payment
"For some reason, i was charged but the order was not placed This happens repeatedly.",negative,payment
"Honestly, the payment page shows an error I need assistance.",negative,payment
"Honestly, support took too long to respond",negative,support
"Honestly, the text on the screen is too small",neutral,ui
"For some reason, please add a filter for previous orders This happens repeatedly.",neutral,feature_request
"Unfortunately, the text on the screen is too small Please look into it.",positive,ui
I am having trouble because something is broken in the application Can you fix this?,negative,bug
I am having trouble because the payment page shows an error This is frustrating.,neutral,payment
Money was deducted but the payment failed I need assistance.,negative,payment
"Unfortunately, the website response time is very poor Can you fix this?",negative,performance
"Honestly, the password reset link is not working This is frustrating.",negative,login
"For some reason, the application is very slow Please look into it.",neutral,performance
"Honestly, the application is very slow Can you fix this?",negative,performance
"Unfortunately, my payment is stuck This is frustrating.",negative,payment
"Recently, i cannot complete the payment Can you fix this?",neutral,payment
"Honestly, i cannot verify my account Can you fix this?",negative,login
"For some reason, the customer care representative was helpful",negative,support
I noticed that the dashboard looks great Please look into it.,negative,ui
I noticed that money was deducted but the payment failed Please help.,negative,payment
I noticed that the design is simple and user friendly This happens repeatedly.,negative,ui
I noticed that the dashboard looks great Please help.,positive,ui
"Recently, my account login keeps failing Please help.",negative,login
I noticed that i am unable to pay for my order I need assistance.,negative,payment
"For some reason, please provide an option to change the language",neutral,feature_request
I am having trouble because the order status is displaying incorrectly This happens repeatedly.,negative,bug
"Today, the app logs me out whenever I try to sign in This is frustrating.",negative,login
"Honestly, i would like to schedule deliveries Can you fix this?",neutral,feature_request
The interface needs improvement Please look into it.,negative,ui
"Today, it takes forever to open the dashboard Please look into it.",negative,performance
"For some reason, the support team did not resolve my problem Please look into it.",negative,support
"For some reason, the payment page shows an error Can you fix this?",negative,payment
"For some reason, it takes forever to open the dashboard Please look into it.",negative,performance
"Recently, the customer care representative was helpful Please look into it.",positive,support
"Unfortunately, the website is extremely slow today",negative,performance
"Recently, the OTP is not arriving during login I need assistance.",negative,login
I am having trouble because the colors and layout make the app easy to use This is frustrating.,positive,ui
I am having trouble because the password reset link is not working Please help.,negative,login
I would like to schedule deliveries Please help.,positive,feature_request
I am having trouble because i cannot verify my account I need assistance.,negative,login
"Today, can you add fingerprint login This happens repeatedly.",neutral,feature_request
"Recently, it would be useful to have a wishlist Please help.",neutral,feature_request
"Today, i cannot verify my account Please look into it.",neutral,login
"Today, i would like to schedule deliveries",positive,feature_request
I am having trouble because i would like an option to download invoices This happens repeatedly.,positive,feature_request
The menu layout is confusing I need assistance.,neutral,ui
"For some reason, the app crashes whenever I upload a file Can you fix this?",negative,bug
I am having trouble because the interface needs improvement,positive,ui
"Today, i would like to schedule deliveries Can you fix this?",neutral,feature_request
"Honestly, the customer care representative was helpful",negative,support
