feedback,sentiment,categories
"For what it's worth, the redesigned dashboard looks clean and is easy to navigate This is frustrating.",positive,ui
Just wanted to mention that the recent addition of order notes is a nice touch.,positive,feature_request
"Just a heads-up: performance seems acceptable on Wi-Fi but slower on mobile data Besides that, is there a dedicated phone line for premium members?.",neutral,"performance,support"
"An option to filter by delivery speed would be very useful Besides that, some banks seem to be unsupported at the moment.",neutral,"feature_request,payment"
"I really need a dark mode option that actually works system-wide Furthermore, the amount was taken from my wallet but the cart is still full. At the same time, customer service kept transferring me between departments without resolving anything.",negative,"feature_request,payment,support"
Lately the application crashes every time I try to open the order history Thanks!,negative,bug
There might be a minor display glitch on certain Android versions And a denser information layout might help experienced users.,neutral,"bug,ui"
"A white screen appears and nothing loads after the splash screen Besides that, navigation feels cluttered and important options are buried deep.",negative,"bug,ui"
"Everything feels laggy and unresponsive during peak hours Besides that, the dark mode has white text on light backgrounds in several places Would appreciate a fix.",negative,"performance,ui"
Loved how easy it was to pay with my preferred method,positive,payment
Overall checkout becomes unresponsive right after I enter my card details.,negative,payment
"The absence of a price-drop alert is disappointing Additionally, customer service kept transferring me between departments without resolving anything.",negative,"feature_request,support"
"Honestly, loading times are terrible and the app often becomes unresponsive.",negative,"bug,performance"
"Biometric login stopped working after the latest update Furthermore, pages take more than ten seconds to render after I click a link Would appreciate a fix.",negative,"login,performance"
It would help if order tracking showed more granular status updates And the login form could remember my username for next time.,neutral,"feature_request,login"
"One problem I keep seeing is that missing the ability to save multiple shipping addresses is inconvenient Plus, i waited over an hour for a response from the help desk and still got no solution.",negative,"feature_request,support"
Is it possible to link multiple email addresses to one account? Keep up the good work.,neutral,login
Some banks seem to be unsupported at the moment Otherwise the experience is good.,neutral,payment
I've noticed that performance seems acceptable on Wi-Fi but slower on mobile data Looking forward to an update.,neutral,performance
Response time is acceptable on weekdays but slower on weekends Looking forward to an update.,neutral,support
"A rare flicker happens when opening the profile section Also, having a callback option would make contacting support easier Please look into it.",neutral,"bug,support"
"Honestly, the remember me option does not actually keep me signed in Also, email replies take more than 48 hours and often miss the point.",negative,"login,support"
Thankfully the dark mode has white text on light backgrounds in several places.,negative,ui
After selecting UPI the screen just hangs and nothing happens Looking forward to an update.,negative,payment
"The list of supported cards could be shown more prominently At the same time, performance seems acceptable on Wi-Fi but slower on mobile data.",neutral,"payment,performance"
"Unfortunately the recent addition of order notes is a nice touch Furthermore, i received a clear and helpful response to my query the same day.",positive,"feature_request,support"
"Quick note: having social login options would be convenient Furthermore, i would prefer a simpler layout with fewer colors Keep up the good work.",neutral,"login,ui"
"To be honest, even with a large catalog the search is impressively fast.",positive,performance
The sign-in button does nothing when I click it Please look into it.,negative,login
"The recently added recommendation engine is surprisingly accurate Furthermore, the help desk agent went the extra mile to fix the problem for me.",positive,"feature_request,support"
"For what it's worth, i wonder if there is a lighter version of the app for older phones Hope this gets fixed soon.",neutral,performance
"Occasionally a button remains highlighted after I release it Additionally, i would prefer a simpler layout with fewer colors.",neutral,"bug,ui"
Overall live chat support was available immediately and solved everything quickly,positive,support
"Session expires immediately after I successfully log in Additionally, getting a human agent feels nearly impossible through the chat.",negative,"login,support"
One problem I keep seeing is that the whole experience is sluggish compared to similar services.,negative,performance
In my experience it would be great if Apple Pay and Google Pay were supported at checkout.,neutral,"feature_request,payment"
In my experience the product cards look cramped and hard to scan quickly Looking forward to an update.,negative,ui
"A comparison tool for similar products would be a welcome addition And i wonder if there is a lighter version of the app for older phones. Besides that, some icons could use clearer labels.",neutral,"feature_request,performance,ui"
"For what it's worth, i paid successfully but the order status remains unpaid Also, the application becomes almost unusable when the network is only moderately fast.",negative,"payment,performance"
A small visual artifact appears when rotating the device Hope this gets fixed soon.,neutral,bug
"Just wanted to mention that missing the ability to save multiple shipping addresses is inconvenient Besides that, the checkout process aborted halfway and I am not sure if I was charged.",negative,"feature_request,payment"
"Login works on desktop but fails consistently on the mobile app Furthermore, the agent I spoke with was unhelpful and seemed unfamiliar with the issue. Also, menus hide behind gestures that are hard to discover Keep up the good work.",negative,"login,support,ui"
"The newly introduced filters have made shopping much easier Furthermore, account access has been reliable every time I need it.",positive,"feature_request,login"
"For what it's worth, the agent I spoke with was unhelpful and seemed unfamiliar with the issue This is frustrating.",negative,support
"One problem I keep seeing is that the application crashes every time I try to open the order history Furthermore, icons are not intuitive and I have to guess what each one does.",negative,"bug,ui"
Just a heads-up: the absence of a price-drop alert is disappointing Otherwise the experience is good.,negative,feature_request
Just wanted to mention that a denser information layout might help experienced users.,neutral,ui
"Lately no unexpected errors so far this month At the same time, i like the new visual style; everything feels modern and polished.",positive,"bug,ui"
"Missing the ability to save multiple shipping addresses is inconvenient And scrolling through the product list is choppy and freezes frequently. Plus, i submitted a ticket three days ago and have not received any update.",negative,"feature_request,performance,support"
"To be honest, everything has been running stably for the past few weeks On top of that, i love the new one-click reorder feature; it saves me so much time. Plus, the application loads quickly and feels snappy on my device.",positive,"bug,feature_request,performance"
Card payment worked on the first try and confirmation arrived immediately Thanks!,positive,payment
"To be honest, images fail to load and are replaced by broken-image icons And menus hide behind gestures that are hard to discover Please look into it.",negative,"bug,ui"
The latest update seems to have fixed the previous stability issues And i was able to complete the purchase in just a few clicks Thanks!,positive,"bug,payment"
"Password reset emails never arrive in my inbox At the same time, money was deducted from my account yet I never received a confirmation",negative,"login,payment"
"Everything has been running stably for the past few weeks Besides that, the agent understood the problem right away and fixed it.",positive,"bug,support"
"For what it's worth, load times are average compared to other shopping apps I use Keep up the good work.",neutral,performance
Just wanted to mention that form fields clear themselves while I am still typing.,negative,bug
"Sign-in with my email takes only a second At the same time, the interface is intuitive and I found what I needed right away.",positive,"login,ui"
Just wanted to mention that i received a clear and helpful response to my query the same day And the interface is intuitive and I found what I needed right away.,positive,"support,ui"
Quick note: i paid successfully but the order status remains unpaid.,negative,payment
Just a heads-up: i keep getting an error message every time I select a payment method Thanks!,negative,payment
"The absence of a price-drop alert is disappointing Furthermore, customer service kept transferring me between departments without resolving anything Keep up the good work.",negative,"feature_request,support"
"The recently added recommendation engine is surprisingly accurate On top of that, checkout and payment went through smoothly without any issues.",positive,"feature_request,payment"
I really need a dark mode option that actually works system-wide And the layout looks broken on tablet screens and elements overlap.,negative,"feature_request,ui"
"The absence of a price-drop alert is disappointing Additionally, email replies take more than 48 hours and often miss the point.",negative,"feature_request,support"
"The application crashes every time I try to open the order history Also, my wallet balance was reduced but the order remains in pending state Thanks!",negative,"bug,payment"
"To be honest, it would be great if users could customize the home screen widgets",neutral,feature_request
I was able to complete the purchase in just a few clicks And navigation is smooth and pages respond almost instantly.,positive,"payment,performance"
"Account access has been reliable every time I need it Furthermore, the redesigned dashboard looks clean and is easy to navigate Otherwise the experience is good.",positive,"login,ui"
"Just wanted to mention that the cart empties itself for no apparent reason Besides that, the checkout process aborted halfway and I am not sure if I was charged.",negative,"bug,payment"
"I noticed there are limited payment options for international cards On top of that, the knowledge base articles are useful but could cover more edge cases. Furthermore, some icons could use clearer labels.",neutral,"payment,support,ui"
"A small visual artifact appears when rotating the device Besides that, having social login options would be convenient. And a denser information layout might help experienced users.",neutral,"bug,login,ui"
"I've noticed that there might be a minor display glitch on certain Android versions Also, having social login options would be convenient.",neutral,"bug,login"
"I've noticed that a small visual artifact appears when rotating the device Furthermore, having social login options would be convenient.",neutral,"bug,login"
"After logging out I am unable to log back in on the same device Besides that, my bank declined the transaction even though I have sufficient funds.",negative,"login,payment"
Just wanted to mention that money was taken but the confirmation screen never loaded and the app crashed Otherwise the experience is good.,negative,"bug,payment"
"To be honest, even with a large catalog the search is impressively fast Otherwise the experience is good.",positive,performance
kindly add the ability to share product links directly to messaging apps This is frustrating.,neutral,feature_request
"The knowledge base articles are useful but could cover more edge cases At the same time, have you considered adding a compact view for power users?",neutral,"support,ui"
In my experience i would like to see integration with more third-party wallets,neutral,feature_request
"The back button sometimes closes the entire application instead of going back And wishlist functionality is missing and I keep losing track of items. Also, the whole experience is sluggish compared to similar services.",negative,"bug,feature_request,performance"
One problem I keep seeing is that sign-in with my email takes only a second Would appreciate a fix.,positive,login
Lately sign-in with my email takes only a second Happened more than once already.,positive,login
I wish there was an option to stay logged in for longer periods Please look into it.,neutral,login
Everything has been running stably for the past few weeks Please look into it.,positive,bug
Quick note: money was deducted from my account yet I never received a confirmation.,negative,payment
"Quick note: the new biometric login option is really convenient At the same time, refund was issued quickly after I cancelled the order.",positive,"login,payment"
"It would be helpful if more local payment methods were available Additionally, response time is acceptable on weekdays but slower on weekends. Besides that, the font size could be adjustable for better readability Happened more than once already.",neutral,"payment,support,ui"
"For what it's worth, a denser information layout might help experienced users.",neutral,ui
I love the new one-click reorder feature; it saves me so much time Keep up the good work.,positive,feature_request
"The whole checkout flow felt secure and fast And performance has improved a lot after the recent update. At the same time, the support team followed up to make sure everything was working again.",positive,"payment,performance,support"
The payment page freezes whenever I try to finalize the purchase Keep up the good work.,negative,payment
"Speed is fine most of the time but dips during sales events At the same time, response time is acceptable on weekdays but slower on weekends.",neutral,"performance,support"
"Load times are average compared to other shopping apps I use On top of that, having a callback option would make contacting support easier.",neutral,"performance,support"
"The absence of a price-drop alert is disappointing On top of that, loading the homepage alone consumes a lot of data and battery. Also, font sizes are inconsistent across different screens.",negative,"feature_request,performance,ui"
Two-factor authentication codes are not being delivered.,negative,login
"The new biometric login option is really convenient Additionally, the payment options are convenient and processed instantly. Additionally, customer support resolved my issue within minutes and were very polite",positive,"login,payment,support"
"The agent I spoke with was unhelpful and seemed unfamiliar with the issue Additionally, the layout looks broken on tablet screens and elements overlap.",negative,"support,ui"
"Just wanted to mention that an option to filter by delivery speed would be very useful On top of that, it would be helpful if more local payment methods were available.",neutral,"feature_request,payment"
Lately menus hide behind gestures that are hard to discover,negative,ui
The cart empties itself for no apparent reason Hope this gets fixed soon.,negative,bug
"I cannot sign in after changing my password yesterday Additionally, the support chat bot only gives canned replies that do not address my problem.",negative,"login,support"
"It would help if order tracking showed more granular status updates Plus, the payment page could list accepted cards more clearly.",neutral,"feature_request,payment"
"After logging out I am unable to log back in on the same device Plus, buttons are too small on mobile and I keep tapping the wrong ones.",negative,"login,ui"
Overall password recovery was straightforward and I was back in minutes Keep up the good work.,positive,login
"Even with a large catalog the search is impressively fast Additionally, the recent UI refresh made browsing much more pleasant.",positive,"performance,ui"
"To be honest, everything feels laggy and unresponsive during peak hours.",negative,performance
"Login works on desktop but fails consistently on the mobile app On top of that, i was told the issue was escalated but never heard back. Also, buttons are too small on mobile and I keep tapping the wrong ones.",negative,"login,support,ui"
"Lately the list of supported cards could be shown more prominently Also, i wonder if there is a lighter version of the app for older phones. Additionally, is there a dedicated phone line for premium members? Looking forward to an update.",neutral,"payment,performance,support"
"Honestly, i never receive the verification code needed to complete sign-in Hope this gets fixed soon.",negative,login
In my experience i really need a dark mode option that actually works system-wide.,negative,feature_request
Quick note: i am locked out of my account and the recovery process is broken Keep up the good work.,negative,login
"For what it's worth, an option to filter by delivery speed would be very useful.",neutral,feature_request
"Honestly, having a bulk-add-to-cart option would speed things up for me.",neutral,feature_request
"Missing the ability to save multiple shipping addresses is inconvenient Additionally, i am locked out of my account and the recovery process is broken.",negative,"feature_request,login"
"In my experience i can't log in, the application crashes, and support has not replied for two days.",negative,"bug,login,support"
"Form fields clear themselves while I am still typing And the sign-in button does nothing when I click it. At the same time, the support chat bot only gives canned replies that do not address my problem.",negative,"bug,login,support"
"The app becomes unresponsive completely when I switch between tabs quickly On top of that, there is still no way to export my order history as a PDF.",negative,"bug,feature_request"
The absence of a price-drop alert is disappointing Would appreciate a fix.,negative,feature_request
"Quick note: a longer session timeout would reduce the need to re-authenticate On top of that, load times are average compared to other shopping apps I use Would appreciate a fix.",neutral,"login,performance"
"Unfortunately performance seems acceptable on Wi-Fi but slower on mobile data Besides that, some icons could use clearer labels.",neutral,"performance,ui"
"Form fields clear themselves while I am still typing Additionally, no option exists to schedule deliveries for a later date. And the payment page freezes whenever I try to finalize the purchase Would appreciate a fix.",negative,"bug,feature_request,payment"
The recently added recommendation engine is surprisingly accurate This is frustrating.,positive,feature_request
"Thankfully notifications keep appearing even after I have dismissed them Also, buttons are too small on mobile and I keep tapping the wrong ones Otherwise the experience is good.",negative,"bug,ui"
"Honestly, a small visual artifact appears when rotating the device Furthermore, i would like to see integration with more third-party wallets. Additionally, a longer session timeout would reduce the need to re-authenticate Otherwise the experience is good.",neutral,"bug,feature_request,login"
There is still no way to export my order history as a PDF Thanks!,negative,feature_request
"Honestly, layout and spacing feel comfortable on both phone and tablet.",positive,ui
"One problem I keep seeing is that i am forced to reset my password every few days for no reason Plus, pages take more than ten seconds to render after I click a link Thanks!",negative,"login,performance"
Just wanted to mention that the support chat bot only gives canned replies that do not address my problem.,negative,support
Overall menus hide behind gestures that are hard to discover,negative,ui
One problem I keep seeing is that some icons could use clearer labels Keep up the good work.,neutral,ui
Having a callback option would make contacting support easier And some icons could use clearer labels Thanks!,neutral,"support,ui"
"The newly introduced filters have made shopping much easier Plus, the redesigned dashboard looks clean and is easy to navigate Keep up the good work.",positive,"feature_request,ui"
My card was charged but the order is still showing as pending And the layout looks broken on tablet screens and elements overlap Keep up the good work.,negative,"payment,ui"
"There might be a minor display glitch on certain Android versions On top of that, i wish there was an option to stay logged in for longer periods. At the same time, response time is acceptable on weekdays but slower on weekends.",neutral,"bug,login,support"
"Wishlist functionality is missing and I keep losing track of items Besides that, my bank declined the transaction even though I have sufficient funds. Plus, pages take more than ten seconds to render after I click a link.",negative,"feature_request,payment,performance"
Thankfully missing the ability to save multiple shipping addresses is inconvenient And the new interface is confusing and I cannot find the settings menu.,negative,"feature_request,ui"
"One problem I keep seeing is that the new biometric login option is really convenient Besides that, the whole checkout flow felt secure and fast.",positive,"login,payment"
In my experience money was taken but the confirmation page never loaded and the application crashed.,negative,"bug,payment"
"The checkout process aborted halfway and I am not sure if I was charged And i waited over an hour for a response from the help desk and still got no solution. On top of that, buttons are too small on mobile and I keep tapping the wrong ones.",negative,"payment,support,ui"
A longer session timeout would reduce the need to re-authenticate.,neutral,login
"Money was deducted from my account yet I never received a confirmation Additionally, buttons are too small on mobile and I keep tapping the wrong ones.",negative,"payment,ui"
"For what it's worth, oTP verification fails every single time I try to access my account Also, i was charged twice for the same order and cannot get a refund kindly look into it.",negative,"login,payment"
Unfortunately logging in is fast and the remember-me feature works perfectly.,positive,login
"Honestly, refund was issued quickly after I cancelled the order.",positive,payment
"I encounter a random error code that forces me to restart the app On top of that, the agent I spoke with was unhelpful and seemed unfamiliar with the issue.",negative,"bug,support"
"There might be a minor display glitch on certain Android versions Besides that, is it possible to link multiple email addresses to one account? Furthermore, have you considered adding a compact view for power users?.",neutral,"bug,login,ui"
"Honestly, checkout is laggy, the card form looks broken, and I would love Apple Pay.",negative,"feature_request,performance,ui"
"A rare flicker happens when opening the profile section Also, a denser information layout might help experienced users",neutral,"bug,ui"
"Everything feels responsive even when I browse many products Besides that, the help desk agent went the extra mile to fix the problem for me.",positive,"performance,support"
Loading the homepage alone consumes a lot of data and battery Looking forward to an update.,negative,performance
"Wishlist functionality is missing and I keep losing track of items Additionally, search results take ages to appear and sometimes never load.",negative,"feature_request,performance"
The application closes unexpectedly every time I try to open the order history And checkout throws an unexpected error after I confirm the amount.,negative,"bug,payment"
"It would help if order tracking showed more granular status updates On top of that, the login form could remember my username for next time.",neutral,"feature_request,login"
"The application crashes every time I try to open the order history Plus, the support chat bot only gives canned replies that do not address my problem This is frustrating.",negative,"bug,support"
"Thankfully kindly add the ability to share product links directly to messaging apps At the same time, have you considered adding a compact view for power users?.",neutral,"feature_request,ui"
"Notifications keep appearing even after I have dismissed them Besides that, the absence of a price-drop alert is disappointing Would appreciate a fix.",negative,"bug,feature_request"
Unfortunately is it possible to link multiple email addresses to one account?,neutral,login
"Password recovery was straightforward and I was back in minutes Plus, everything feels responsive even when I browse many products Otherwise the experience is good.",positive,"login,performance"
Unfortunately the cart empties itself for no apparent reason.,negative,bug
"There is still no way to export my order history as a PDF Plus, phone support put me on hold for twenty minutes and then the call dropped.",negative,"feature_request,support"
"A rare flicker happens when opening the profile section And it would be great if users could customize the home screen widgets. On top of that, the login form could remember my username for next time Please look into it.",neutral,"bug,feature_request,login"
Quick note: the newly introduced filters have made shopping much easier,positive,feature_request
One problem I keep seeing is that i wish there was an option to stay logged in for longer periods.,neutral,login
"Loved how easy it was to pay with my preferred method Additionally, layout and spacing feel comfortable on both phone and tablet.",positive,"payment,ui"
"The login form could remember my username for next time Additionally, the font size could be adjustable for better readability.",neutral,"login,ui"
"The payment screen is slow, freezes, and the layout is messy on mobile Looking forward to an update.",negative,"bug,payment,ui"
"For what it's worth, i encounter a random error code that forces me to restart the app On top of that, two-factor authentication codes are not being delivered.",negative,"bug,login"
"The back button sometimes closes the entire application instead of going back Plus, no option exists to schedule deliveries for a later date. Besides that, oTP verification fails every single time I try to access my account.",negative,"bug,feature_request,login"
"Images fail to load and are replaced by broken-image icons Besides that, no option exists to schedule deliveries for a later date. Plus, i am locked out of my account and the recovery process is broken.",negative,"bug,feature_request,login"
"To be honest, having a bulk-add-to-cart option would speed things up for me.",neutral,feature_request
"In my experience there is still no way to export my order history as a PDF On top of that, biometric login stopped working after the latest update. Besides that, the application takes forever to load even on a strong Wi-Fi connection This is frustrating.",negative,"feature_request,login,performance"
Quick note: the absence of a price-drop alert is disappointing And i keep getting an error message every time I select a payment method.,negative,"feature_request,payment"
"A small visual artifact appears when rotating the device Besides that, is there a dedicated phone line for premium members? Please look into it.",neutral,"bug,support"
The whole checkout flow felt secure and fast And i like the new visual style; everything feels modern and polished This is frustrating.,positive,"payment,ui"
"One problem I keep seeing is that wishlist functionality is missing and I keep losing track of items Besides that, the transaction failed twice when I tried to complete checkout",negative,"feature_request,payment"
Just a heads-up: the recent UI refresh made browsing much more pleasant Hope this gets fixed soon.,positive,ui
Some icons could use clearer labels Would appreciate a fix.,neutral,ui
"Overall the remember me option does not actually keep me signed in Additionally, the whole experience is sluggish compared to similar services.",negative,"login,performance"
Paying was straightforward and I received the receipt right away And customer support resolved my issue within minutes and were very polite Thanks!,positive,"payment,support"
"To be honest, a rare flicker happens when opening the profile section Besides that, it would be nice if support hours extended into the evening.",neutral,"bug,support"
Thankfully kindly add the ability to share product links directly to messaging apps,neutral,feature_request
"For what it's worth, there might be a minor display glitch on certain Android versions Additionally, is there a dedicated phone line for premium members? Looking forward to an update.",neutral,"bug,support"
"Quick note: after logging out I am unable to log back in on the same device On top of that, icons are not intuitive and I have to guess what each one does Otherwise the experience is good.",negative,"login,ui"
A small visual artifact appears when rotating the device Please look into it.,neutral,bug
Just wanted to mention that the support team followed up to make sure everything was working again.,positive,support
"The cart empties itself for no apparent reason Additionally, wishlist functionality is missing and I keep losing track of items.",negative,"bug,feature_request"
The new interface is confusing and I cannot find the settings menu Keep up the good work.,negative,ui
"Loved how easy it was to pay with my preferred method Additionally, the agent understood the problem right away and fixed it.",positive,"payment,support"
Checkout becomes unresponsive right after I enter my card details And getting a human agent feels nearly impossible through the chat.,negative,"payment,support"
"To be honest, i love the new one-click reorder feature; it saves me so much time Besides that, the new biometric login option is really convenient. Besides that, layout and spacing feel comfortable on both phone and tablet.",positive,"feature_request,login,ui"
"Clicking the save button does nothing and changes are lost Also, the agent I spoke with was unhelpful and seemed unfamiliar with the issue.",negative,"bug,support"
"Honestly, the color contrast makes some text almost unreadable Thanks!",negative,ui
Trying to pay with my saved card always results in an authorization error.,negative,payment
"Just wanted to mention that i love the new one-click reorder feature; it saves me so much time On top of that, everything feels responsive even when I browse many products.",positive,"feature_request,performance"
"Honestly, speed is fine most of the time but dips during sales events Happened more than once already.",neutral,performance
"Occasionally a button remains highlighted after I release it On top of that, the login form could remember my username for next time.",neutral,"bug,login"
"The recently added recommendation engine is surprisingly accurate Also, logging in is fast and the remember-me feature works perfectly.",positive,"feature_request,login"
"There might be a minor display glitch on certain Android versions Also, is there a way to save multiple payment methods for faster checkout? On top of that, i wonder if there is a lighter version of the application for older phones.",neutral,"bug,payment,performance"
One problem I keep seeing is that the agent I spoke with was unhelpful and seemed unfamiliar with the issue Please look into it.,negative,support
"I've noticed that i wish there was an option to stay logged in for longer periods Additionally, i wonder if there is a lighter version of the application for older phones. Besides that, a denser information layout might help experienced users.",neutral,"login,performance,ui"
"I wonder if there is a lighter version of the app for older phones Plus, is there a dedicated phone line for premium members?.",neutral,"performance,support"
Please consider adding support for more regional languages Happened more than once already.,neutral,feature_request
"I am forced to reset my password every few days for no reason On top of that, i keep getting an error message every time I select a payment method Keep up the good work.",negative,"login,payment"
"Honestly, no option exists to schedule deliveries for a later date Also, search results take ages to appear and sometimes never load.",negative,"feature_request,performance"
"To be honest, a small visual artifact appears when rotating the device Furthermore, load times are average compared to other shopping apps I use Happened more than once already.",neutral,"bug,performance"
"I keep getting an error message every time I select a payment method Besides that, scrolling through the product list is choppy and freezes frequently. Besides that, the new interface is confusing and I cannot find the settings menu.",negative,"payment,performance,ui"
"Checkout and payment went through smoothly without any issues At the same time, i received a clear and helpful response to my query the same day. Plus, layout and spacing feel comfortable on both phone and tablet.",positive,"payment,support,ui"
"In my experience speed is fine most of the time but dips during sales events Plus, having a callback option would make contacting support easier.",neutral,"performance,support"
"Overall i was able to complete the purchase in just a few clicks Also, i received a clear and helpful response to my query the same day.",positive,"payment,support"
"To be honest, scrolling through the product list is choppy and freezes frequently Plus, the color contrast makes some text almost unreadable This is frustrating.",negative,"performance,ui"
"I wish there was an option to stay logged in for longer periods At the same time, the knowledge base articles are useful but could cover more edge cases Keep up the good work.",neutral,"login,support"
Overall everything feels laggy and unresponsive during peak hours.,negative,performance
"Performance seems acceptable on Wi-Fi but slower on mobile data Besides that, some icons could use clearer labels.",neutral,"performance,ui"
"Unfortunately checkout throws an unexpected error after I confirm the amount Additionally, navigation feels cluttered and important options are buried deep Hope this gets fixed soon.",negative,"payment,ui"
"Clicking the save button does nothing and changes are lost Also, menus hide behind gestures that are hard to discover.",negative,"bug,ui"
"Thankfully the application crashes every time I try to open the order history Also, customer service kept transferring me between departments without resolving anything.",negative,"bug,support"
Quick note: after logging out I am unable to log back in on the same device.,negative,login
"Overall wishlist functionality is missing and I keep losing track of items Also, everything feels laggy and unresponsive during peak hours.",negative,"feature_request,performance"
"An option to filter by delivery speed would be very useful At the same time, the knowledge base articles are useful but could cover more edge cases Thanks!",neutral,"feature_request,support"
"Images fail to load and are replaced by broken-image icons Plus, missing the ability to save multiple shipping addresses is inconvenient.",negative,"bug,feature_request"
"Overall the app becomes almost unusable when the network is only moderately fast Also, customer service kept transferring me between departments without resolving anything.",negative,"performance,support"
The newly introduced filters have made shopping much easier,positive,feature_request
"The recent addition of order notes is a nice touch Plus, i like the new visual style; everything feels modern and polished.",positive,"feature_request,ui"
"Card payment worked on the first try and confirmation arrived immediately At the same time, layout and spacing feel comfortable on both phone and tablet.",positive,"payment,ui"
"For what it's worth, i really need a dark mode option that actually works system-wide Besides that, i submitted a ticket three days ago and have not received any update kindly look into it.",negative,"feature_request,support"
"The help desk agent went the extra mile to fix the problem for me Additionally, layout and spacing feel comfortable on both phone and tablet",positive,"support,ui"
Thankfully trying to pay with my saved card always results in an authorization error.,negative,payment
"I am forced to reset my password every few days for no reason On top of that, customer service kept transferring me between departments without resolving anything.",negative,"login,support"
"Honestly, after the update the interface is confusing, pages load slowly, and login fails intermittently Otherwise the experience is good.",negative,"login,performance,ui"
"Thankfully sign-in with my email takes only a second Furthermore, layout and spacing feel comfortable on both phone and tablet.",positive,"login,ui"
"The app freezes completely when I switch between tabs quickly Furthermore, the money left my account but the order never appeared in my history.",negative,"bug,payment"
The recent UI refresh made browsing much more pleasant Looking forward to an update.,positive,ui
"Some banks seem to be unsupported at the moment Plus, performance seems acceptable on Wi-Fi but slower on mobile data. Furthermore, a denser information layout might help experienced users Happened more than once already.",neutral,"payment,performance,ui"
"After selecting UPI the screen just hangs and nothing happens Additionally, font sizes are inconsistent across different screens This is frustrating.",negative,"payment,ui"
Thankfully the app is extremely slow and crashes while I am checking out.,negative,"bug,performance"
"Lately a small visual artifact appears when rotating the device Additionally, response time is acceptable on weekdays but slower on weekends.",neutral,"bug,support"
Overall performance has improved a lot after the recent update.,positive,performance
kindly add UPI and more payment methods for international users Keep up the good work.,neutral,"feature_request,payment"
"A white screen appears and nothing loads after the splash screen Also, there is still no way to export my order history as a PDF.",negative,"bug,feature_request"
"The login form could remember my username for next time Additionally, the list of supported cards could be shown more prominently.",neutral,"login,payment"
"To be honest, i would prefer a simpler layout with fewer colors.",neutral,ui
"To be honest, speed is fine most of the time but dips during sales events.",neutral,performance
"I love the new one-click reorder feature; it saves me so much time Also, logging in is fast and the remember-me feature works perfectly. At the same time, the interface is intuitive and I found what I needed right away Would appreciate a fix.",positive,"feature_request,login,ui"
"Occasionally a button remains highlighted after I release it Also, load times are average compared to other shopping apps I use Hope this gets fixed soon.",neutral,"bug,performance"
"Is there a way to save multiple payment methods for faster checkout? Besides that, a denser information layout might help experienced users Otherwise the experience is good.",neutral,"payment,ui"
"Honestly, i cannot complete the purchase because the payment button stays disabled Furthermore, everything feels laggy and unresponsive during peak hours.",negative,"payment,performance"
"Please add the ability to share product links directly to messaging apps Also, having a callback option would make contacting support easier. Besides that, some icons could use clearer labels.",neutral,"feature_request,support,ui"
"The application becomes extremely sluggish when I have many items in the cart Additionally, email replies take more than 48 hours and often miss the point.",negative,"performance,support"
One problem I keep seeing is that live chat support was available immediately and solved everything quickly.,positive,support
"Honestly, card payment worked on the first try and confirmation arrived immediately Besides that, the agent understood the problem right away and fixed it.",positive,"payment,support"
"I can't log in, the application crashes, and support has not replied for two days.",negative,"bug,login,support"
Quick note: i wish there was an option to stay logged in for longer periods.,neutral,login
"One problem I keep seeing is that form fields clear themselves while I am still typing Plus, i am forced to reset my password every few days for no reason. Besides that, loading the homepage alone consumes a lot of data and battery This is frustrating.",negative,"bug,login,performance"
Just a heads-up: every action seems to wait several seconds before responding Happened more than once already.,negative,performance
"The recently added recommendation engine is surprisingly accurate Furthermore, i like the new visual style; everything feels modern and polished.",positive,"feature_request,ui"
Have you considered adding a compact view for power users? Please look into it.,neutral,ui
Lately my wallet balance was reduced but the order remains in pending state.,negative,payment
Overall the back button sometimes closes the entire application instead of going back.,negative,bug
Refund was issued quickly after I cancelled the order Would appreciate a fix.,positive,payment
"The newly introduced filters have made shopping much easier Plus, sign-in with my email takes only a second Hope this gets fixed soon.",positive,"feature_request,login"
"For what it's worth, support for guest checkout without creating an account would be convenient And speed is fine most of the time but dips during sales events Happened more than once already.",neutral,"feature_request,performance"
"I encounter a random error code that forces me to restart the app Furthermore, after selecting UPI the screen just hangs and nothing happens. On top of that, icons are not intuitive and I have to guess what each one does.",negative,"bug,payment,ui"
"Honestly, the login form could remember my username for next time This is frustrating.",neutral,login
The product cards look cramped and hard to scan quickly Otherwise the experience is good.,negative,ui
"Just wanted to mention that please add the ability to share product links directly to messaging apps Besides that, i wish there was an option to stay logged in for longer periods.",neutral,"feature_request,login"
"The checkout process aborted halfway and I am not sure if I was charged Plus, menus hide behind gestures that are hard to discover Hope this gets fixed soon.",negative,"payment,ui"
"One problem I keep seeing is that the newly introduced filters have made shopping much easier Besides that, customer support resolved my issue within minutes and were very polite.",positive,"feature_request,support"
Quick note: have you considered adding a compact view for power users? Thanks!,neutral,ui
Unfortunately phone support put me on hold for twenty minutes and then the call dropped.,negative,support
I wonder if there is a lighter version of the application for older phones This is frustrating.,neutral,performance
"The app freezes completely when I switch between tabs quickly Besides that, no option exists to schedule deliveries for a later date. Furthermore, the agent I spoke with was unhelpful and seemed unfamiliar with the issue.",negative,"bug,feature_request,support"
Quick note: there might be a minor display glitch on certain Android versions This is frustrating.,neutral,bug
