feedback,processed_text,sentiment,category
I noticed that the card payment keeps failing I need assistance.,noticed card payment keep failing need assistance,neutral,payment
I noticed that i am unable to pay for my order Please look into it.,noticed unable pay order please look,negative,payment
"For some reason, the app takes too long to load",reason app take long load,negative,performance
"Honestly, the app shows an error after checkout Please help.",honestly app show error checkout please help,negative,bug
"Honestly, please provide an option to change the language Can you fix this?",honestly please provide option change language fix,neutral,feature_request
I am having trouble because please add dark mode to the application Please help.,trouble please add dark mode application please help,positive,feature_request
"Today, i found a bug in the checkout process Can you fix this?",today found bug checkout process fix,negative,bug
"Recently, i am unable to pay for my order Please look into it.",recently unable pay order please look,neutral,payment
"Honestly, pages are loading slowly Please help.",honestly page loading slowly please help,negative,performance
"Unfortunately, the notification is showing the wrong information Can you fix this?",unfortunately notification showing wrong information fix,negative,bug
The payment page shows an error,payment page show error,negative,payment
I am unable to pay for my order This is frustrating.,unable pay order frustrating,negative,payment
I am unable to access my account This happens repeatedly.,unable access account happens repeatedly,negative,login
"Honestly, it takes forever to open the dashboard I need assistance.",honestly take forever open dashboard need assistance,negative,performance
"Unfortunately, the order status is displaying incorrectly Please look into it.",unfortunately order status displaying incorrectly please look,negative,bug
"Honestly, the notification is showing the wrong information Please help.",honestly notification showing wrong information please help,negative,bug
"Recently, my account login keeps failing This is frustrating.",recently account login keep failing frustrating,negative,login
The support staff were polite and professional Can you fix this?,support staff polite professional fix,negative,support
The app takes too long to load,app take long load,negative,performance
"For some reason, the page becomes blank after clicking the button Please help.",reason page becomes blank clicking button please help,negative,bug
"Honestly, the app logs me out whenever I try to sign in Please help.",honestly app log whenever try sign please help,negative,login
The application interface is easy to use This happens repeatedly.,application interface easy use happens repeatedly,positive,ui
"Unfortunately, the website is extremely slow today Can you fix this?",unfortunately website extremely slow today fix,negative,performance
"For some reason, please provide an option to change the language Can you fix this?",reason please provide option change language fix,positive,feature_request
"Unfortunately, the payment page shows an error Please look into it.",unfortunately payment page show error please look,negative,payment
"Unfortunately, the website is extremely slow today This is frustrating.",unfortunately website extremely slow today frustrating,neutral,performance
I noticed that the password reset link is not working Can you fix this?,noticed password reset link working fix,negative,login
I am having trouble because the design is simple and user friendly Please help.,trouble design simple user friendly please help,positive,ui
"Honestly, the buttons are difficult to find This is frustrating.",honestly button difficult find frustrating,negative,ui
"Today, i would like an option to download invoices",today would like option download invoice,neutral,feature_request
"For some reason, support took too long to respond Please look into it.",reason support took long respond please look,negative,support
"Unfortunately, please add dark mode to the application Please help.",unfortunately please add dark mode application please help,neutral,feature_request
"Honestly, the password reset link is not working Can you fix this?",honestly password reset link working fix,negative,login
"For some reason, the application freezes frequently This is frustrating.",reason application freeze frequently frustrating,negative,performance
I am having trouble because my account login keeps failing Please look into it.,trouble account login keep failing please look,negative,login
I noticed that my account login keeps failing This is frustrating.,noticed account login keep failing frustrating,neutral,login
"Unfortunately, uPI payment is not going through Please look into it.",unfortunately upi payment going please look,negative,payment
"Recently, i cannot complete the payment Please help.",recently complete payment please help,negative,payment
"Unfortunately, the notification is showing the wrong information Please help.",unfortunately notification showing wrong information please help,negative,bug
I noticed that the card payment keeps failing I need assistance.,noticed card payment keep failing need assistance,negative,payment
I noticed that please add a filter for previous orders I need assistance.,noticed please add filter previous order need assistance,neutral,feature_request
"Honestly, the text on the screen is too small I need assistance.",honestly text screen small need assistance,neutral,ui
"Today, the login page is not working Can you fix this?",today login page working fix,negative,login
The application interface is easy to use Can you fix this?,application interface easy use fix,negative,ui
"Today, i am unable to access my account This is frustrating.",today unable access account frustrating,negative,login
The application is lagging badly I need assistance.,application lagging badly need assistance,negative,performance
"Today, the app logs me out whenever I try to sign in This is frustrating.",today app log whenever try sign frustrating,negative,login
"Recently, the support staff were polite and professional I need assistance.",recently support staff polite professional need assistance,negative,support
I noticed that please add notifications for price changes I need assistance.,noticed please add notification price change need assistance,neutral,feature_request
"Honestly, the application is lagging badly This is frustrating.",honestly application lagging badly frustrating,negative,performance
"Today, the support staff were polite and professional This is frustrating.",today support staff polite professional frustrating,negative,support
"Unfortunately, the design is simple and user friendly I need assistance.",unfortunately design simple user friendly need assistance,positive,ui
I am having trouble because the app crashes whenever I upload a file This happens repeatedly.,trouble app crash whenever upload file happens repeatedly,negative,bug
"Unfortunately, uPI payment is not going through I need assistance.",unfortunately upi payment going need assistance,negative,payment
The design is simple and user friendly Can you fix this?,design simple user friendly fix,negative,ui
I am having trouble because the page becomes blank after clicking the button Please look into it.,trouble page becomes blank clicking button please look,negative,bug
I am having trouble because the transaction was declined,trouble transaction declined,negative,payment
The new interface looks clean,new interface look clean,positive,ui
"Today, i am unable to pay for my order Please help.",today unable pay order please help,negative,payment
"Recently, the app becomes slow during checkout Please look into it.",recently app becomes slow checkout please look,negative,performance
"Recently, the order status is displaying incorrectly This happens repeatedly.",recently order status displaying incorrectly happens repeatedly,negative,bug
"Recently, the menu layout is confusing Can you fix this?",recently menu layout confusing fix,positive,ui
"Today, the search results are incorrect Please help.",today search result incorrect please help,negative,bug
"Today, my payment is stuck Please look into it.",today payment stuck please look,neutral,payment
"Honestly, the application crashes when I open my profile I need assistance.",honestly application crash open profile need assistance,negative,bug
"Honestly, the password reset link is not working Can you fix this?",honestly password reset link working fix,neutral,login
"For some reason, the application is lagging badly This is frustrating.",reason application lagging badly frustrating,negative,performance
"Today, the website response time is very poor Can you fix this?",today website response time poor fix,negative,performance
"Today, i cannot login to my account I need assistance.",today login account need assistance,negative,login
"For some reason, my account login keeps failing I need assistance.",reason account login keep failing need assistance,negative,login
"Today, the payment page shows an error This is frustrating.",today payment page show error frustrating,negative,payment
"For some reason, the navigation is difficult to understand This is frustrating.",reason navigation difficult understand frustrating,positive,ui
"Recently, the transaction was declined Please help.",recently transaction declined please help,negative,payment
I am having trouble because i forgot my password and cannot sign in Please look into it.,trouble forgot password sign please look,negative,login
"Unfortunately, the new interface looks clean This happens repeatedly.",unfortunately new interface look clean happens repeatedly,negative,ui
"Honestly, i cannot verify my account Please help.",honestly verify account please help,negative,login
"Honestly, the application interface is easy to use I need assistance.",honestly application interface easy use need assistance,negative,ui
"Honestly, something is broken in the application",honestly something broken application,negative,bug
"Honestly, the website response time is very poor This happens repeatedly.",honestly website response time poor happens repeatedly,negative,performance
"For some reason, the order status is displaying incorrectly Can you fix this?",reason order status displaying incorrectly fix,negative,bug
"Recently, the application is very slow This happens repeatedly.",recently application slow happens repeatedly,negative,performance
"Unfortunately, i found a bug in the checkout process I need assistance.",unfortunately found bug checkout process need assistance,negative,bug
I am having trouble because i was charged but the order was not placed I need assistance.,trouble charged order placed need assistance,negative,payment
I noticed that the order status is displaying incorrectly,noticed order status displaying incorrectly,negative,bug
"Recently, i cannot complete the payment I need assistance.",recently complete payment need assistance,negative,payment
I noticed that customer service was very helpful I need assistance.,noticed customer service helpful need assistance,negative,support
"For some reason, the design is simple and user friendly Please look into it.",reason design simple user friendly please look,negative,ui
"Recently, the transaction was declined I need assistance.",recently transaction declined need assistance,negative,payment
"Honestly, i found a bug in the checkout process This happens repeatedly.",honestly found bug checkout process happens repeatedly,negative,bug
I noticed that it would be useful to have a wishlist This is frustrating.,noticed would useful wishlist frustrating,neutral,feature_request
"Recently, the page becomes blank after clicking the button I need assistance.",recently page becomes blank clicking button need assistance,neutral,bug
"Recently, it would be useful to have a wishlist This happens repeatedly.",recently would useful wishlist happens repeatedly,positive,feature_request
"Recently, my payment failed while placing the order Please look into it.",recently payment failed placing order please look,negative,payment
"Today, pages are loading slowly Can you fix this?",today page loading slowly fix,negative,performance
I noticed that nobody from customer support has contacted me This happens repeatedly.,noticed nobody customer support contacted happens repeatedly,negative,support
"Honestly, the notification is showing the wrong information Can you fix this?",honestly notification showing wrong information fix,negative,bug
"Recently, the support staff were polite and professional Please help.",recently support staff polite professional please help,negative,support
The app logs me out whenever I try to sign in I need assistance.,app log whenever try sign need assistance,negative,login
The support experience was disappointing Please look into it.,support experience disappointing please look,negative,support
"Today, i would like to schedule deliveries",today would like schedule delivery,neutral,feature_request
I am having trouble because it takes forever to open the dashboard This is frustrating.,trouble take forever open dashboard frustrating,negative,performance
"Honestly, the interface needs improvement",honestly interface need improvement,positive,ui
"Recently, i am unable to pay for my order",recently unable pay order,negative,payment
I noticed that every screen takes a long time to open This is frustrating.,noticed every screen take long time open frustrating,negative,performance
"Recently, pages are loading slowly This is frustrating.",recently page loading slowly frustrating,negative,performance
The buttons are difficult to find This is frustrating.,button difficult find frustrating,negative,ui
"Honestly, i was charged but the order was not placed This happens repeatedly.",honestly charged order placed happens repeatedly,negative,payment
"For some reason, please add more payment methods I need assistance.",reason please add payment method need assistance,positive,feature_request
"Recently, i cannot complete the payment Please look into it.",recently complete payment please look,neutral,payment
I am having trouble because the app crashes whenever I upload a file Can you fix this?,trouble app crash whenever upload file fix,negative,bug
I am having trouble because something is broken in the application Please help.,trouble something broken application please help,negative,bug
"For some reason, the password reset link is not working",reason password reset link working,negative,login
"Unfortunately, i cannot login to my account Please help.",unfortunately login account please help,negative,login
"Honestly, i would like to schedule deliveries This is frustrating.",honestly would like schedule delivery frustrating,positive,feature_request
I noticed that it would be great to have a dark theme This is frustrating.,noticed would great dark theme frustrating,neutral,feature_request
I forgot my password and cannot sign in,forgot password sign,negative,login
"Today, the OTP is not arriving during login Please look into it.",today otp arriving login please look,negative,login
"Honestly, i cannot verify my account Please help.",honestly verify account please help,neutral,login
"Recently, nobody from customer support has contacted me I need assistance.",recently nobody customer support contacted need assistance,negative,support
"For some reason, i forgot my password and cannot sign in I need assistance.",reason forgot password sign need assistance,negative,login
"Recently, i found a bug in the checkout process I need assistance.",recently found bug checkout process need assistance,negative,bug
"Recently, something is broken in the application Please help.",recently something broken application please help,negative,bug
I am having trouble because the app crashes whenever I upload a file,trouble app crash whenever upload file,negative,bug
"For some reason, the page becomes blank after clicking the button This happens repeatedly.",reason page becomes blank clicking button happens repeatedly,negative,bug
"For some reason, support took too long to respond Please help.",reason support took long respond please help,positive,support
I noticed that i found a bug in the checkout process This is frustrating.,noticed found bug checkout process frustrating,negative,bug
"Unfortunately, the app crashes whenever I upload a file Please look into it.",unfortunately app crash whenever upload file please look,negative,bug
"Unfortunately, the app becomes slow during checkout This is frustrating.",unfortunately app becomes slow checkout frustrating,negative,performance
"Unfortunately, please add more payment methods I need assistance.",unfortunately please add payment method need assistance,neutral,feature_request
"Honestly, the page becomes blank after clicking the button Can you fix this?",honestly page becomes blank clicking button fix,negative,bug
"Recently, i cannot login to my account Can you fix this?",recently login account fix,neutral,login
I noticed that the application crashes when I open my profile Can you fix this?,noticed application crash open profile fix,negative,bug
"For some reason, the colors and layout make the app easy to use Please look into it.",reason color layout make app easy use please look,positive,ui
The customer care representative was helpful I need assistance.,customer care representative helpful need assistance,negative,support
Login takes me back to the sign in page Please look into it.,login take back sign page please look,negative,login
"For some reason, the interface needs improvement Please help.",reason interface need improvement please help,neutral,ui
I noticed that i cannot complete the payment This happens repeatedly.,noticed complete payment happens repeatedly,negative,payment
"For some reason, the buttons are difficult to find This is frustrating.",reason button difficult find frustrating,positive,ui
"For some reason, the OTP is not arriving during login Please look into it.",reason otp arriving login please look,negative,login
I noticed that please add dark mode to the application,noticed please add dark mode application,positive,feature_request
"For some reason, the support team did not resolve my problem This happens repeatedly.",reason support team resolve problem happens repeatedly,negative,support
"Today, the application is very slow Please help.",today application slow please help,negative,performance
I am having trouble because please add dark mode to the application I need assistance.,trouble please add dark mode application need assistance,neutral,feature_request
I noticed that please add a filter for previous orders This is frustrating.,noticed please add filter previous order frustrating,neutral,feature_request
"Unfortunately, the app becomes slow during checkout This is frustrating.",unfortunately app becomes slow checkout frustrating,neutral,performance
I am having trouble because login takes me back to the sign in page Please help.,trouble login take back sign page please help,negative,login
I am having trouble because i am unable to access my account,trouble unable access account,negative,login
"For some reason, money was deducted but the payment failed",reason money deducted payment failed,negative,payment
"Unfortunately, every screen takes a long time to open Please look into it.",unfortunately every screen take long time open please look,negative,performance
"For some reason, money was deducted but the payment failed Can you fix this?",reason money deducted payment failed fix,negative,payment
"For some reason, the card payment keeps failing",reason card payment keep failing,negative,payment
"Unfortunately, the application freezes frequently Please look into it.",unfortunately application freeze frequently please look,negative,performance
I am having trouble because every screen takes a long time to open Please look into it.,trouble every screen take long time open please look,negative,performance
"For some reason, money was deducted but the payment failed This happens repeatedly.",reason money deducted payment failed happens repeatedly,negative,payment
Money was deducted but the payment failed Please look into it.,money deducted payment failed please look,negative,payment
The search results are incorrect Can you fix this?,search result incorrect fix,negative,bug
I noticed that money was deducted but the payment failed This is frustrating.,noticed money deducted payment failed frustrating,negative,payment
I noticed that i am happy with the assistance I received Please help.,noticed happy assistance received please help,negative,support
The application is lagging badly Can you fix this?,application lagging badly fix,negative,performance
"Recently, my payment failed while placing the order Please help.",recently payment failed placing order please help,negative,payment
"For some reason, the app crashes whenever I upload a file This happens repeatedly.",reason app crash whenever upload file happens repeatedly,neutral,bug
I am having trouble because the app shows an error after checkout Can you fix this?,trouble app show error checkout fix,negative,bug
"Unfortunately, please add a filter for previous orders This happens repeatedly.",unfortunately please add filter previous order happens repeatedly,positive,feature_request
"Unfortunately, please provide an option to change the language I need assistance.",unfortunately please provide option change language need assistance,neutral,feature_request
"Honestly, it takes forever to open the dashboard I need assistance.",honestly take forever open dashboard need assistance,negative,performance
The application closes unexpectedly This is frustrating.,application close unexpectedly frustrating,negative,bug
I would like to schedule deliveries Can you fix this?,would like schedule delivery fix,positive,feature_request
"Honestly, the navigation is difficult to understand This happens repeatedly.",honestly navigation difficult understand happens repeatedly,negative,ui
"Unfortunately, the order status is displaying incorrectly Please help.",unfortunately order status displaying incorrectly please help,negative,bug
"Today, the application closes unexpectedly Please help.",today application close unexpectedly please help,neutral,bug
"For some reason, the application is very slow This happens repeatedly.",reason application slow happens repeatedly,negative,performance
"Recently, the transaction was declined Please look into it.",recently transaction declined please look,negative,payment
"Unfortunately, the customer care representative was helpful This happens repeatedly.",unfortunately customer care representative helpful happens repeatedly,negative,support
I cannot complete the payment Please look into it.,complete payment please look,negative,payment
"Unfortunately, the password reset link is not working Can you fix this?",unfortunately password reset link working fix,negative,login
The website is extremely slow today Can you fix this?,website extremely slow today fix,neutral,performance
I noticed that the new interface looks clean Can you fix this?,noticed new interface look clean fix,negative,ui
I am having trouble because money was deducted but the payment failed Can you fix this?,trouble money deducted payment failed fix,negative,payment
I noticed that the website response time is very poor Please look into it.,noticed website response time poor please look,neutral,performance
I am having trouble because the colors and layout make the app easy to use,trouble color layout make app easy use,neutral,ui
"Today, the buttons are difficult to find This is frustrating.",today button difficult find frustrating,neutral,ui
I noticed that please provide an option to change the language Can you fix this?,noticed please provide option change language fix,neutral,feature_request
I am happy with the assistance I received I need assistance.,happy assistance received need assistance,negative,support
I am having trouble because login takes me back to the sign in page Please help.,trouble login take back sign page please help,negative,login
"Recently, the app takes too long to load",recently app take long load,negative,performance
I noticed that uPI payment is not going through Can you fix this?,noticed upi payment going fix,negative,payment
"Honestly, the order status is displaying incorrectly This is frustrating.",honestly order status displaying incorrectly frustrating,negative,bug
"Today, i would like to schedule deliveries This happens repeatedly.",today would like schedule delivery happens repeatedly,neutral,feature_request
"Unfortunately, the customer care representative was helpful I need assistance.",unfortunately customer care representative helpful need assistance,positive,support
"Unfortunately, the app logs me out whenever I try to sign in I need assistance.",unfortunately app log whenever try sign need assistance,negative,login
"Honestly, i cannot verify my account Please help.",honestly verify account please help,negative,login
"Today, the support staff were polite and professional Can you fix this?",today support staff polite professional fix,negative,support
"For some reason, the support experience was disappointing This happens repeatedly.",reason support experience disappointing happens repeatedly,negative,support
Pages are loading slowly,page loading slowly,negative,performance
The application is lagging badly I need assistance.,application lagging badly need assistance,negative,performance
"For some reason, the buttons are difficult to find Can you fix this?",reason button difficult find fix,positive,ui
"Honestly, i would like to schedule deliveries Please help.",honestly would like schedule delivery please help,neutral,feature_request
The customer care representative was helpful,customer care representative helpful,positive,support
The application closes unexpectedly This happens repeatedly.,application close unexpectedly happens repeatedly,negative,bug
I noticed that i am unable to pay for my order This happens repeatedly.,noticed unable pay order happens repeatedly,negative,payment
I noticed that the buttons are difficult to find Please look into it.,noticed button difficult find please look,positive,ui
"Recently, the dashboard looks great Please look into it.",recently dashboard look great please look,negative,ui
"Today, i have not received a response from support Please look into it.",today received response support please look,negative,support
I am having trouble because the application interface is easy to use This is frustrating.,trouble application interface easy use frustrating,negative,ui
I noticed that please add dark mode to the application This happens repeatedly.,noticed please add dark mode application happens repeatedly,neutral,feature_request
I noticed that can you add fingerprint login Please help.,noticed add fingerprint login please help,neutral,feature_request
"Today, i cannot verify my account I need assistance.",today verify account need assistance,negative,login
I noticed that the new interface looks clean,noticed new interface look clean,positive,ui
"Honestly, the design is simple and user friendly Can you fix this?",honestly design simple user friendly fix,negative,ui
"Honestly, the login page is not working This happens repeatedly.",honestly login page working happens repeatedly,neutral,login
"Today, the application crashes when I open my profile Please help.",today application crash open profile please help,negative,bug
"Unfortunately, the support staff were polite and professional I need assistance.",unfortunately support staff polite professional need assistance,positive,support
"Unfortunately, the app shows an error after checkout I need assistance.",unfortunately app show error checkout need assistance,negative,bug
I noticed that i was charged but the order was not placed This happens repeatedly.,noticed charged order placed happens repeatedly,negative,payment
"Today, support took too long to respond Please look into it.",today support took long respond please look,negative,support
"Recently, please provide an option to change the language I need assistance.",recently please provide option change language need assistance,neutral,feature_request
"For some reason, the website response time is very poor This is frustrating.",reason website response time poor frustrating,negative,performance
"Honestly, the payment page shows an error Please help.",honestly payment page show error please help,negative,payment
"For some reason, i am unable to pay for my order I need assistance.",reason unable pay order need assistance,negative,payment
"For some reason, the application freezes frequently",reason application freeze frequently,negative,performance
I am having trouble because the customer care representative was helpful Can you fix this?,trouble customer care representative helpful fix,negative,support
"Recently, it would be great to have a dark theme Can you fix this?",recently would great dark theme fix,neutral,feature_request
"For some reason, the dashboard looks great Can you fix this?",reason dashboard look great fix,positive,ui
"For some reason, the login page is not working This is frustrating.",reason login page working frustrating,negative,login
"For some reason, the application crashes when I open my profile This is frustrating.",reason application crash open profile frustrating,neutral,bug
I am having trouble because the payment page shows an error,trouble payment page show error,negative,payment
I noticed that the OTP is not arriving during login Can you fix this?,noticed otp arriving login fix,negative,login
"Recently, the dashboard looks great Please help.",recently dashboard look great please help,negative,ui
"For some reason, the menu layout is confusing This happens repeatedly.",reason menu layout confusing happens repeatedly,positive,ui
Money was deducted but the payment failed Please look into it.,money deducted payment failed please look,negative,payment
"Unfortunately, my payment is stuck This happens repeatedly.",unfortunately payment stuck happens repeatedly,negative,payment
I forgot my password and cannot sign in Please help.,forgot password sign please help,negative,login
Login takes me back to the sign in page Please help.,login take back sign page please help,negative,login
"Honestly, the application is lagging badly Please help.",honestly application lagging badly please help,negative,performance
"Today, i cannot complete the payment This happens repeatedly.",today complete payment happens repeatedly,negative,payment
"Unfortunately, the transaction was declined",unfortunately transaction declined,negative,payment
I noticed that support took too long to respond This happens repeatedly.,noticed support took long respond happens repeatedly,positive,support
The website is extremely slow today Can you fix this?,website extremely slow today fix,neutral,performance
"Today, money was deducted but the payment failed Can you fix this?",today money deducted payment failed fix,negative,payment
"Unfortunately, i was charged but the order was not placed This happens repeatedly.",unfortunately charged order placed happens repeatedly,negative,payment
"Unfortunately, the interface needs improvement I need assistance.",unfortunately interface need improvement need assistance,neutral,ui
The application closes unexpectedly Can you fix this?,application close unexpectedly fix,negative,bug
"Today, please add notifications for price changes Please look into it.",today please add notification price change please look,neutral,feature_request
"Today, the website response time is very poor This happens repeatedly.",today website response time poor happens repeatedly,negative,performance
Please add more payment methods This happens repeatedly.,please add payment method happens repeatedly,neutral,feature_request
The login page is not working,login page working,negative,login
"Today, the menu layout is confusing Can you fix this?",today menu layout confusing fix,negative,ui
"Today, please provide an option to change the language Please help.",today please provide option change language please help,neutral,feature_request
"Honestly, the application is very slow Please look into it.",honestly application slow please look,negative,performance
"Recently, the application is very slow",recently application slow,negative,performance
I am having trouble because the application interface is easy to use This is frustrating.,trouble application interface easy use frustrating,negative,ui
I cannot verify my account,verify account,negative,login
"Recently, the support team did not resolve my problem This is frustrating.",recently support team resolve problem frustrating,negative,support
"Today, please provide an option to change the language Please help.",today please provide option change language please help,neutral,feature_request
"Honestly, the website is extremely slow today Please look into it.",honestly website extremely slow today please look,negative,performance
"Honestly, my account login keeps failing Can you fix this?",honestly account login keep failing fix,neutral,login
"Today, the app crashes whenever I upload a file Can you fix this?",today app crash whenever upload file fix,negative,bug
I am having trouble because the application is lagging badly This is frustrating.,trouble application lagging badly frustrating,negative,performance
"Today, please add dark mode to the application I need assistance.",today please add dark mode application need assistance,neutral,feature_request
I am having trouble because the password reset link is not working Can you fix this?,trouble password reset link working fix,negative,login
I noticed that customer service was very helpful Please look into it.,noticed customer service helpful please look,positive,support
I cannot verify my account This happens repeatedly.,verify account happens repeatedly,negative,login
The buttons are difficult to find I need assistance.,button difficult find need assistance,positive,ui
"For some reason, the OTP is not arriving during login Can you fix this?",reason otp arriving login fix,neutral,login
"Honestly, the app takes too long to load",honestly app take long load,negative,performance
The page becomes blank after clicking the button This happens repeatedly.,page becomes blank clicking button happens repeatedly,negative,bug
The interface needs improvement This is frustrating.,interface need improvement frustrating,neutral,ui
I am having trouble because the text on the screen is too small This happens repeatedly.,trouble text screen small happens repeatedly,negative,ui
"Honestly, i forgot my password and cannot sign in This happens repeatedly.",honestly forgot password sign happens repeatedly,neutral,login
"Today, it takes forever to open the dashboard Please help.",today take forever open dashboard please help,negative,performance
I am having trouble because can you add fingerprint login This happens repeatedly.,trouble add fingerprint login happens repeatedly,neutral,feature_request
"Recently, i am happy with the assistance I received This happens repeatedly.",recently happy assistance received happens repeatedly,neutral,support
"Today, i cannot verify my account Please look into it.",today verify account please look,negative,login
"Recently, the colors and layout make the app easy to use Please look into it.",recently color layout make app easy use please look,negative,ui
"Unfortunately, i was charged but the order was not placed Please help.",unfortunately charged order placed please help,negative,payment
"Recently, i am happy with the assistance I received This is frustrating.",recently happy assistance received frustrating,positive,support
The dashboard looks great This is frustrating.,dashboard look great frustrating,positive,ui
The text on the screen is too small Please look into it.,text screen small please look,negative,ui
I noticed that it takes forever to open the dashboard I need assistance.,noticed take forever open dashboard need assistance,negative,performance
"Unfortunately, please add notifications for price changes",unfortunately please add notification price change,neutral,feature_request
"Recently, the support staff were polite and professional This happens repeatedly.",recently support staff polite professional happens repeatedly,negative,support
I am having trouble because the support team did not resolve my problem Please look into it.,trouble support team resolve problem please look,negative,support
"Recently, something is broken in the application This is frustrating.",recently something broken application frustrating,neutral,bug
"For some reason, i was charged but the order was not placed I need assistance.",reason charged order placed need assistance,negative,payment
"Today, my payment is stuck",today payment stuck,neutral,payment
"Recently, i cannot login to my account This happens repeatedly.",recently login account happens repeatedly,negative,login
"For some reason, the password reset link is not working Can you fix this?",reason password reset link working fix,negative,login
I am having trouble because it takes forever to open the dashboard I need assistance.,trouble take forever open dashboard need assistance,negative,performance
The website is extremely slow today Please help.,website extremely slow today please help,negative,performance
"Unfortunately, the interface needs improvement This is frustrating.",unfortunately interface need improvement frustrating,positive,ui
"Recently, something is broken in the application Please look into it.",recently something broken application please look,neutral,bug
"Honestly, i have not received a response from support This happens repeatedly.",honestly received response support happens repeatedly,positive,support
"For some reason, i would like an option to download invoices This happens repeatedly.",reason would like option download invoice happens repeatedly,neutral,feature_request
"Today, my payment is stuck Can you fix this?",today payment stuck fix,neutral,payment
"Recently, customer service was very helpful Can you fix this?",recently customer service helpful fix,positive,support
I forgot my password and cannot sign in Please look into it.,forgot password sign please look,negative,login
I noticed that nobody from customer support has contacted me I need assistance.,noticed nobody customer support contacted need assistance,negative,support
"Recently, uPI payment is not going through Please look into it.",recently upi payment going please look,negative,payment
I noticed that can you add fingerprint login Please help.,noticed add fingerprint login please help,neutral,feature_request
The application closes unexpectedly I need assistance.,application close unexpectedly need assistance,negative,bug
Login takes me back to the sign in page Please help.,login take back sign page please help,negative,login
"Recently, pages are loading slowly Please help.",recently page loading slowly please help,negative,performance
I noticed that my payment is stuck Please look into it.,noticed payment stuck please look,negative,payment
I noticed that support took too long to respond This is frustrating.,noticed support took long respond frustrating,positive,support
"Today, i would like an option to download invoices This is frustrating.",today would like option download invoice frustrating,neutral,feature_request
"Today, please add notifications for price changes",today please add notification price change,neutral,feature_request
I noticed that please add a filter for previous orders This happens repeatedly.,noticed please add filter previous order happens repeatedly,neutral,feature_request
"For some reason, the password reset link is not working Please look into it.",reason password reset link working please look,negative,login
"Unfortunately, the customer care representative was helpful Please look into it.",unfortunately customer care representative helpful please look,positive,support
"Honestly, i was charged but the order was not placed This is frustrating.",honestly charged order placed frustrating,negative,payment
I noticed that login takes me back to the sign in page Please look into it.,noticed login take back sign page please look,negative,login
"For some reason, uPI payment is not going through Please help.",reason upi payment going please help,negative,payment
I am having trouble because please add notifications for price changes Please help.,trouble please add notification price change please help,neutral,feature_request
The app shows an error after checkout Please look into it.,app show error checkout please look,negative,bug
"For some reason, please add dark mode to the application",reason please add dark mode application,neutral,feature_request
"Today, the new interface looks clean This is frustrating.",today new interface look clean frustrating,positive,ui
"For some reason, i am unable to access my account Can you fix this?",reason unable access account fix,negative,login
I noticed that login takes me back to the sign in page Please look into it.,noticed login take back sign page please look,negative,login
"Honestly, the application closes unexpectedly This happens repeatedly.",honestly application close unexpectedly happens repeatedly,neutral,bug
"For some reason, i would like to schedule deliveries This happens repeatedly.",reason would like schedule delivery happens repeatedly,neutral,feature_request
"Today, the application crashes when I open my profile This happens repeatedly.",today application crash open profile happens repeatedly,negative,bug
"Honestly, the design is simple and user friendly I need assistance.",honestly design simple user friendly need assistance,negative,ui
"Honestly, the design is simple and user friendly I need assistance.",honestly design simple user friendly need assistance,positive,ui
"Unfortunately, the navigation is difficult to understand This happens repeatedly.",unfortunately navigation difficult understand happens repeatedly,negative,ui
"Unfortunately, the navigation is difficult to understand Can you fix this?",unfortunately navigation difficult understand fix,positive,ui
"Unfortunately, the application is very slow Please help.",unfortunately application slow please help,negative,performance
I noticed that the OTP is not arriving during login I need assistance.,noticed otp arriving login need assistance,negative,login
"Honestly, the support experience was disappointing",honestly support experience disappointing,positive,support
"Unfortunately, the application is very slow I need assistance.",unfortunately application slow need assistance,negative,performance
"Honestly, uPI payment is not going through I need assistance.",honestly upi payment going need assistance,negative,payment
"For some reason, my payment failed while placing the order This happens repeatedly.",reason payment failed placing order happens repeatedly,negative,payment
"Unfortunately, uPI payment is not going through This happens repeatedly.",unfortunately upi payment going happens repeatedly,negative,payment
"Honestly, i am unable to pay for my order This happens repeatedly.",honestly unable pay order happens repeatedly,neutral,payment
"For some reason, login takes me back to the sign in page This happens repeatedly.",reason login take back sign page happens repeatedly,negative,login
"For some reason, my account login keeps failing This happens repeatedly.",reason account login keep failing happens repeatedly,negative,login
"Unfortunately, the buttons are difficult to find Please help.",unfortunately button difficult find please help,negative,ui
I am having trouble because i was charged but the order was not placed Please help.,trouble charged order placed please help,negative,payment
"Unfortunately, every screen takes a long time to open",unfortunately every screen take long time open,negative,performance
"Unfortunately, i would like to schedule deliveries Please help.",unfortunately would like schedule delivery please help,neutral,feature_request
I cannot complete the payment Can you fix this?,complete payment fix,negative,payment
I am having trouble because the support team did not resolve my problem I need assistance.,trouble support team resolve problem need assistance,positive,support
I noticed that the app logs me out whenever I try to sign in,noticed app log whenever try sign,negative,login
I noticed that the app crashes whenever I upload a file This is frustrating.,noticed app crash whenever upload file frustrating,negative,bug
"Recently, please provide an option to change the language",recently please provide option change language,neutral,feature_request
"Today, the navigation is difficult to understand This is frustrating.",today navigation difficult understand frustrating,negative,ui
"Recently, the design is simple and user friendly Please help.",recently design simple user friendly please help,positive,ui
